Tidspunkt,Luftfuktighet (%),pressure,temperature_aht20,temperature_bmp280,tvoc
2025-03-05 16:00:00+00:00,38.05685,99.6165,19.99893,19.73892,0.0
2025-03-05 17:00:00+00:00,37.39996,99.68396,20.13702,19.86608,0.0
2025-03-05 18:00:00+00:00,37.2077,99.68259,19.95449,19.70429,0.0
2025-03-05 19:00:00+00:00,37.27875,99.71515,19.65523,19.39832,1.0
2025-03-05 20:00:00+00:00,37.36877,99.69305,19.46144,19.18174,1.0
2025-03-05 21:00:00+00:00,36.86228,99.71735,19.6825,19.40399,1.0
2025-03-05 22:00:00+00:00,36.51114,99.72709,19.75613,19.47954,1.0
2025-03-05 23:00:00+00:00,36.34739,99.76525,19.76509,19.48584,1.0
2025-03-06 00:00:00+00:00,35.83746,99.82252,20.04414,19.76976,1.0
2025-03-06 01:00:00+00:00,35.92482,99.83205,19.96078,19.71247,1.0
2025-03-06 02:00:00+00:00,35.78787,99.78675,20.10632,19.8302,1.0
2025-03-06 03:00:00+00:00,35.56032,99.78736,20.18528,19.92525,1.0
2025-03-06 04:00:00+00:00,36.01408,99.83192,19.83776,19.58216,1.0
2025-03-06 05:00:00+00:00,39.19172,99.83753,18.78529,18.49414,0.0
2025-03-06 06:00:00+00:00,41.04843,99.87742,18.10799,17.81085,0.0
2025-03-06 07:00:00+00:00,42.3192,99.95216,17.47208,17.14256,0.0
2025-03-06 08:00:00+00:00,41.94174,100.025,18.56709,18.28382,1.0
2025-03-06 09:00:00+00:00,41.21847,100.1144,18.96095,18.65283,0.0
2025-03-06 10:00:00+00:00,39.53562,100.1738,19.47308,19.20252,0.0
2025-03-06 11:00:00+00:00,38.26952,100.1974,19.61536,19.34103,0.0
2025-03-06 12:00:00+00:00,37.23164,100.2332,19.91177,19.6703,0.0
2025-03-06 13:00:00+00:00,36.15503,100.2572,20.45879,20.21671,0.0
2025-03-06 14:00:00+00:00,36.91769,100.2823,21.19923,21.01921,0.0
2025-03-06 15:00:00+00:00,35.08339,100.3159,21.07868,20.84109,0.0
2025-03-06 16:00:00+00:00,37.47711,100.3458,21.0392,20.76809,1.0
2025-03-06 17:00:00+00:00,38.88931,100.4219,20.60528,20.35959,1.0
2025-03-06 18:00:00+00:00,40.07225,100.4405,20.18242,19.91959,1.0
2025-03-06 19:00:00+00:00,40.70749,100.5335,19.86465,19.60167,1.0
2025-03-06 20:00:00+00:00,40.61489,100.5607,19.40708,19.16348,1.0
2025-03-06 21:00:00+00:00,40.76519,100.6378,18.93311,18.64338,1.0
2025-03-06 22:00:00+00:00,40.56044,100.705,18.33534,18.04073,1.0
2025-03-06 23:00:00+00:00,40.58828,100.768,17.93575,17.65969,1.0
2025-03-07 00:00:00+00:00,40.00587,100.8137,17.53826,17.24083,1.0
2025-03-07 01:00:00+00:00,40.17277,100.8279,17.37728,17.09721,1.0
2025-03-07 02:00:00+00:00,39.58941,100.8487,17.13333,16.81248,1.0
2025-03-07 03:00:00+00:00,39.31408,100.8613,16.8932,16.55545,1.0
2025-03-07 04:00:00+00:00,38.74989,100.8413,16.7717,16.4074,1.0
2025-03-07 05:00:00+00:00,35.04906,100.8406,14.75506,14.35243,0.0
2025-03-07 06:00:00+00:00,33.85458,100.8679,15.40394,14.97513,0.0
2025-03-07 07:00:00+00:00,35.01329,100.9047,15.84702,15.46794,0.0
2025-03-07 08:00:00+00:00,36.74717,100.939,16.14323,15.77859,0.0
2025-03-07 09:00:00+00:00,42.40246,100.9616,15.15579,14.76085,0.0
2025-03-07 10:00:00+00:00,53.00341,100.9736,13.2391,12.85707,0.0
2025-03-07 11:00:00+00:00,43.12363,100.9784,16.87412,16.53088,0.0
2025-03-07 12:00:00+00:00,50.5558,100.9547,14.95094,14.57618,0.0
2025-03-07 13:00:00+00:00,44.4808,100.9123,17.06142,16.74381,0.0
2025-03-07 14:00:00+00:00,45.97454,100.8754,16.80012,16.48867,0.0
2025-03-07 15:00:00+00:00,44.9048,100.8564,17.25292,16.96177,0.0
2025-03-07 16:00:00+00:00,42.0826,100.8598,18.08968,17.80518,0.0
2025-03-07 17:00:00+00:00,41.1622,100.8413,18.27698,17.99853,0.0
2025-03-07 18:00:00+00:00,41.00027,100.8812,18.1612,17.90343,1.0
2025-03-07 19:00:00+00:00,40.42845,100.9532,18.30158,18.02309,1.0
2025-03-07 20:00:00+00:00,40.42778,101.0087,18.15586,17.87068,1.0
2025-03-07 21:00:00+00:00,40.21902,101.1073,18.25562,17.95382,1.0
2025-03-07 22:00:00+00:00,40.21635,101.1524,18.18161,17.91729,1.0
2025-03-07 23:00:00+00:00,40.27071,101.1973,18.04295,17.77684,1.0
2025-03-08 00:00:00+00:00,40.28692,101.2339,17.80205,17.49278,1.0
2025-03-08 01:00:00+00:00,40.22026,101.2729,17.53311,17.25784,1.0
2025-03-08 02:00:00+00:00,40.2668,101.3224,17.43755,17.17406,1.0
2025-03-08 03:00:00+00:00,40.03048,101.3317,17.27924,17.00272,1.0
2025-03-08 04:00:00+00:00,39.69336,101.3793,17.34657,17.0569,1.0
2025-03-08 05:00:00+00:00,39.27402,101.409,17.21039,16.92335,0.0
2025-03-08 06:00:00+00:00,39.0296,101.4287,17.276,16.9876,0.0
2025-03-08 07:00:00+00:00,38.8196,101.4606,17.24968,16.94855,0.0
2025-03-08 08:00:00+00:00,38.5004,101.5139,17.39254,17.05753,0.0
2025-03-08 09:00:00+00:00,37.87727,101.5923,17.56077,17.25973,0.0
2025-03-08 10:00:00+00:00,37.22191,101.6378,17.91267,17.62568,1.0
2025-03-08 11:00:00+00:00,36.94172,101.6645,18.02483,17.74409,1.0
2025-03-08 12:00:00+00:00,36.61003,101.6611,18.28709,18.03128,1.0
2025-03-08 13:00:00+00:00,36.35206,101.593,18.53142,18.25296,1.0
2025-03-08 14:00:00+00:00,35.84213,101.5684,18.73455,18.44062,1.0
2025-03-08 15:00:00+00:00,35.47812,101.5612,18.99719,18.68557,1.0
